KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-753.32151352847,-753.08415938,65.62
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@H](O)[C@H]1O,0,OCC1(O)OC[C@@H]([C@H]1O)O,0.0,-565.785831873416,-565.62144772,66.172
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,0.0,-839.979564626541,-839.68876717,132.72799999999998
C03064,O=C(O)[C@H](O)C(=O)CO,52,4,True,OCC(=O)[C@@H](O)C(O)=O,0,OCC(=O)[C@H](C(=O)O)O,0.0,-525.832281429041,-525.63180868,59.184
C02652,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1,66,7,True,O[C@@H]1C=C(CC(=O)[C@@H]1O)C(O)=O,0,O=C1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-639.8672786680011,-639.62232357,69.556
C00233,CC(C)CC(=O)C(=O)O,52,6,True,CC(C)CC(=O)C(O)=O,0,CC(CC(=O)C(=O)O)C,0.0,-454.674975501397,-454.49694189,61.504
C00164,CC(=O)CC(=O)O,40,4,True,CC(=O)CC(O)=O,0,CC(=O)CC(=O)O,0.0,-377.105761351756,-376.94908253,56.232
C01089,C[C@@H](O)CC(=O)O,42,4,True,C[C@@H](O)CC(O)=O,0,C[C@H](CC(=O)O)O,0.0,-378.273317815781,-378.14077836,55.64
C00133,C[C@@H](N)C(=O)O,36,3,True,C[C@@H]([NH3+])C(O)=O,1,C[C@@H]([NH3+])C(=O)O,1.0,-320.244988009084,-320.12396835,56.052
C01438,C,8,1,True,C,0,C,0.0,-39.940251133007,-39.93508583,46.972
C01570,CC(C)C[C@@H](N)C(=O)O,54,6,True,CC(C)C[C@@H]([NH3+])C(O)=O,1,[NH3+][C@@H](C(=O)O)CC(C)C,1.0,-436.613319070709,-436.45955901,63.368
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,True,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,0.0,-678.942992159623,-678.74411047,68.372
C00966,CC(C)(CO)C(=O)C(=O)O,58,6,True,CC(C)(CO)C(=O)C(O)=O,0,OCC(C(=O)C(=O)O)(C)C,0.0,-529.0438660722181,-528.84081299,61.84
C00207,CC(C)=O,24,3,True,CC(C)=O,0,CC(=O)C,0.0,-190.72110168433895,-190.64999886,47.032
C00794,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-680.0905464554,-679.90561751,87.37200000000001
C00835,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,90,9,True,C[C@H](O)C(=O)C1=NC2=C(NC1)N=C(N)NC2=O,0,C[C@@H](C(=O)C1=Nc2c(NC1)nc([nH]c2=O)N)O,0.0,-838.566811962943,-838.21435521,91.976
C00109,CCC(=O)C(=O)O,40,4,True,CCC(=O)C(O)=O,0,CCC(=O)C(=O)O,0.0,-377.097035296259,-376.94140423,58.472
C00424,C[C@H](O)C=O,30,3,True,C[C@H](O)C=O,0,C[C@@H](C=O)O,0.0,-265.076287292336,-264.98232204,51.672
C01013,O=C(O)CCO,36,3,True,OCCC(O)=O,0,OCCC(=O)O,0.0,-339.480878146534,-339.3605027,60.36
C00014,N,8,0,True,[NH4+],1,[NH4+],1.0,-56.296098508898,-56.28816712,53.896
C00022,CC(=O)C(=O)O,34,3,True,CC(=O)C(O)=O,0,OC(=O)C(=O)C,0.0,-338.30990418737497,-338.16449791,62.28
C15673,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,76,6,True,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-752.140986169092,-751.87715925,72.732
C00067,C=O,12,1,True,C=O,0,C=O,0.0,-113.120642487108,-113.06537924,46.468
C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,76,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-752.141108476176,-751.87654533,74.98
C00084,CC=O,18,2,True,CC=O,0,CC=O,0.0,-151.92040895839702,-151.85796463,57.628
C01188,CC(CO)C(=O)O,42,4,True,CC(CO)C(O)=O,0,OCC(C(=O)O)C,0.0,-378.271863347709,-378.13993601,59.096
C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O,96,6,True,OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@H](C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O)O,0.0,-1241.797273584014,-1241.52403196,103.688
C00854,OC1CCCCC1,42,6,True,OC1CCCCC1,0,OC1CCCCC1,0.0,-307.097635839119,-307.01397008,67.28399999999999
C02666,COc1cc(/C=C/C=O)ccc1O,68,10,True,COc1cc(\\C=C\\C=O)ccc1O,0,O=C/C=C/c1ccc(c(c1)OC)O,0.0,-605.126297522816,-604.88499022,75.86399999999998
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,96,6,True,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,0,OCC1(O)O[C@@H]([C@H]([C@@H]1O)O)COP(=O)(O)O,0.0,-1241.8372243592219,-1241.57644583,112.34
C03232,O=C(O)C(=O)COP(=O)(O)O,64,3,True,OC(=O)C(=O)COP(O)(O)=O,0,OC(=O)C(=O)COP(=O)(O)O,0.0,-975.552249404947,-975.31781309,62.356
C00222,O=CCC(=O)O,34,3,True,OC(=O)CC=O,0,O=CCC(=O)O,0.0,-338.30754247346,-338.15922525,52.428
C02782,O=C(O)C[C@@H](O)[C@H](O)[C@H](O)CO,72,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)CC(O)=O,0,OC[C@H]([C@H]([C@@H](CC(=O)O)O)O)O,0.0,-678.952304178089,-678.73586978,72.14
C00197,O=C(O)[C@H](O)COP(=O)(O)O,66,3,True,O[C@H](COP(O)(O)=O)C(O)=O,0,OC(=O)[C@@H](COP(=O)(O)O)O,0.0,-976.73005596282,-976.52366544,64.38
C01179,O=C(O)C(=O)Cc1ccc(O)cc1,68,9,True,OC(=O)C(=O)Cc1ccc(O)cc1,0,Oc1ccc(cc1)CC(=O)C(=O)O,0.0,-640.754628395198,-640.48976678,66.152
C00493,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,68,7,True,O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O,0,O[C@@H]1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-641.03624062422,-640.81708433,66.388
C15025,C[N+](C)(C)C[C@@H](O)CC(=O)[O-],66,7,True,C[N+](C)(C)C[C@@H](O)CC(O)=O,1,O[C@H](C[N+](C)(C)C)CC(=O)[O-],0.0,-549.754462838593,-549.55732169,75.416
