KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-753.3282332988422,-753.08365788,793.113
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@H](O)[C@H]1O,0,OCC1(O)OC[C@@H]([C@H]1O)O,0.0,-565.7892624708439,-565.62040105,479.08
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,0.0,-839.9843723686861,-839.69108052,1615.943
C03064,O=C(O)[C@H](O)C(=O)CO,52,4,True,OCC(=O)[C@@H](O)C(O)=O,0,OCC(=O)[C@H](C(=O)O)O,0.0,-525.837654473535,-525.6319354,617.226
C02652,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1,66,7,True,O[C@@H]1C=C(CC(=O)[C@@H]1O)C(O)=O,0,O=C1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-639.8737410773861,-639.62319778,538.604
C00233,CC(C)CC(=O)C(=O)O,52,6,True,CC(C)CC(=O)C(O)=O,0,CC(CC(=O)C(=O)O)C,0.0,-454.680615990049,-454.49758767,138.221
C00164,CC(=O)CC(=O)O,40,4,True,CC(=O)CC(O)=O,0,CC(=O)CC(=O)O,0.0,-377.110326467499,-376.95125465,259.1
C01089,C[C@@H](O)CC(=O)O,42,4,True,C[C@@H](O)CC(O)=O,0,C[C@H](CC(=O)O)O,0.0,-378.27580305514,-378.14389162,130.355
C00133,C[C@@H](N)C(=O)O,36,3,True,C[C@@H]([NH3+])C(O)=O,1,C[C@@H]([NH3+])C(=O)O,1.0,-320.249210671117,-320.13006119,192.96
C01438,C,8,1,True,C,0,C,0.0,-39.940300807164,-39.93523047,19.987
C01570,CC(C)C[C@@H](N)C(=O)O,54,6,True,CC(C)C[C@@H]([NH3+])C(O)=O,1,[NH3+][C@@H](C(=O)O)CC(C)C,1.0,-436.6206569296609,-436.46801048,399.881
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,True,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,0.0,-678.935915947477,-678.73253496,500.917
C00966,CC(C)(CO)C(=O)C(=O)O,58,6,True,CC(C)(CO)C(=O)C(O)=O,0,OCC(C(=O)C(=O)O)(C)C,0.0,-529.048623544302,-528.84037089,246.924
C00207,CC(C)=O,24,3,True,CC(C)=O,0,CC(=O)C,0.0,-190.72183158319802,-190.65047449,46.219
C00794,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-680.09664214348,-679.91204963,2217.95
C00835,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,90,9,True,C[C@H](O)C(=O)C1=NC2=C(NC1)N=C(N)NC2=O,0,C[C@@H](C(=O)C1=Nc2c(NC1)nc([nH]c2=O)N)O,0.0,-838.567158857079,-838.19562969,782.403
C00109,CCC(=O)C(=O)O,40,4,True,CCC(=O)C(O)=O,0,CCC(=O)C(=O)O,0.0,-377.095130453039,-376.93534839,92.376
C00424,C[C@H](O)C=O,30,3,True,C[C@H](O)C=O,0,C[C@@H](C=O)O,0.0,-265.077314631979,-264.98405649,156.929
C01013,O=C(O)CCO,36,3,True,OCCC(O)=O,0,OCCC(=O)O,0.0,-339.480913969395,-339.35909141,115.944
C00014,N,8,0,True,[NH4+],1,[NH4+],1.0,-56.29779059028901,-56.29095215,14.96
C00022,CC(=O)C(=O)O,34,3,True,CC(=O)C(O)=O,0,OC(=O)C(=O)C,0.0,-338.311960940424,-338.16189514,81.298
C15673,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,76,6,True,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-752.130843323726,-751.8604326000002,1899.315
C00067,C=O,12,1,True,C=O,0,C=O,0.0,-113.121932922939,-113.07107375,26.911
C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,76,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-752.143751883405,-751.87259138,527.3240000000002
C00084,CC=O,18,2,True,CC=O,0,CC=O,0.0,-151.919974393187,-151.85966758,48.683
C01188,CC(CO)C(=O)O,42,4,True,CC(CO)C(O)=O,0,OCC(C(=O)O)C,0.0,-378.271220177689,-378.13774119,101.13
C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O,96,6,True,OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@H](C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O)O,0.0,-1241.854314443362,-1241.52735417,1016.111
C00854,OC1CCCCC1,42,6,True,OC1CCCCC1,0,OC1CCCCC1,0.0,-307.101525281631,-307.01894111,83.449
C02666,COc1cc(/C=C/C=O)ccc1O,68,10,True,COc1cc(\\C=C\\C=O)ccc1O,0,O=C/C=C/c1ccc(c(c1)OC)O,0.0,-605.132419118694,-604.88750094,302.5420000000001
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,96,6,True,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,0,OCC1(O)O[C@@H]([C@H]([C@@H]1O)O)COP(=O)(O)O,0.0,-1241.885429656615,-1241.56801695,2973.47
C03232,O=C(O)C(=O)COP(=O)(O)O,64,3,True,OC(=O)C(=O)COP(O)(O)=O,0,OC(=O)C(=O)COP(=O)(O)O,0.0,-975.578002499653,-975.29078452,2355.384
C00222,O=CCC(=O)O,34,3,True,OC(=O)CC=O,0,O=CCC(=O)O,0.0,-338.31021061971296,-338.16251065,126.865
C02782,O=C(O)C[C@@H](O)[C@H](O)[C@H](O)CO,72,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)CC(O)=O,0,OC[C@H]([C@H]([C@@H](CC(=O)O)O)O)O,0.0,-678.960309428202,-678.74059321,595.6709999999998
C00197,O=C(O)[C@H](O)COP(=O)(O)O,66,3,True,O[C@H](COP(O)(O)=O)C(O)=O,0,OC(=O)[C@@H](COP(=O)(O)O)O,0.0,-976.782142608069,-976.52455185,893.715
C01179,O=C(O)C(=O)Cc1ccc(O)cc1,68,9,True,OC(=O)C(=O)Cc1ccc(O)cc1,0,Oc1ccc(cc1)CC(=O)C(=O)O,0.0,-640.7585017700441,-640.48630183,551.5840000000002
C00493,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,68,7,True,O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O,0,O[C@@H]1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-641.040986625504,-640.8173706,306.085
C15025,C[N+](C)(C)C[C@@H](O)CC(=O)[O-],66,7,True,C[N+](C)(C)C[C@@H](O)CC(O)=O,1,O[C@H](C[N+](C)(C)C)CC(=O)[O-],0.0,-549.762079559651,-549.56643956,395.85
C01904,OC[C@@H](O)C(O)[C@H](O)CO,62,5,True,OC[C@@H](O)C(O)[C@H](O)CO,0,OC[C@H](C([C@@H](CO)O)O)O,0.0,-566.926974473769,-566.77422939,347.711
C03044,C[C@@H](O)[C@@H](C)O,38,4,True,C[C@@H](O)[C@@H](C)O,0,C[C@H]([C@H](O)C)O,0.0,-305.044349598637,-304.96684784,117.407
C01845,CC(C)O,26,3,True,CC(C)O,0,CC(O)C,0.0,-191.88523238392102,-191.84011488,44.24100000000001
C00132,CO,14,1,True,CO,0,CO,0.0,-114.30299040906901,-114.27788127,31.822
C05984,CC[C@H](O)C(=O)O,42,4,True,CC[C@H](O)C(O)=O,0,CC[C@@H](C(=O)O)O,0.0,-378.274720424011,-378.14123992,312.619
C00093,O=P(O)(O)OC[C@H](O)CO,62,3,True,OC[C@@H]([OH2+])COP(O)([O-])=O,0,OC[C@H](COP(=O)(O)O)O,0.0,-903.474760811807,-903.27077774,2407.604
C08492,CC/C=C\CCO,42,6,True,CC\\C=C/CCO,0,OCC/C=C\CC,0.0,-307.04611527057097,-306.96315487,145.779
