KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00962,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,72,6,False,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@H]1O)O)O,0.0,-678.932828364935,-678.72396342,24.805
C00230,O=C(O)c1ccc(O)c(O)c1,58,7,False,OC(=O)c1ccc(O)c(O)c1,0,OC(=O)c1ccc(c(c1)O)O,0.0,-564.3382090417131,-564.13295858,16.579
C05825,CC(=O)CCC(N)C(=O)O,58,6,False,CC(=O)CCC([NH3+])C(O)=O,1,CC(=O)CCC(C(=O)O)[NH3+],1.0,-509.793330374389,-509.61015042,19.103
C01035,N=C(N)NCCCC(=O)O,58,5,False,NC(=[NH2+])NCCCC(O)=O,1,N[C+](=N)NCCCC(=O)O,1.0,-505.998949037435,-505.82820315,18.819000000000006
C02779,O=C1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,70,6,False,OC[C@H]1O[C@@H](O)C(=O)[C@@H](O)[C@@H]1O,0,OC[C@H]1O[C@@H](O)C(=O)[C@H]([C@@H]1O)O,0.0,-677.761107455996,-677.52872965,21.965
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-753.3006359382471,-753.06563604,31.778
C00606,N[C@@H](CS(=O)O)C(=O)O,54,3,False,[NH3+][C@@H](CS(O)=O)C(O)=O,1,OS(=O)C[C@@H](C(=O)O)[NH3+],1.0,-864.4648450714052,-864.31347847,19.098
C11036,Brc1ccccc1,36,6,False,Brc1ccccc1,0,Brc1ccccc1,0.0,-2800.735750135882,-2800.64769862,15.988
C05572,NC(=O)C(=O)CCC(=O)O,56,5,False,NC(=O)C(=O)CCC(O)=O,0,OC(=O)CCC(=O)C(=O)N,0.0,-543.742513657716,-543.53947482,15.71
C06763,OC[C@H]1NC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,False,OC[C@H]1[NH2+]C(O)[C@H](O)[C@@H](O)[C@@H]1O,1,OC[C@H]1[NH2+]C(O)[C@@H]([C@H]([C@@H]1O)O)O,1.0,-659.696199043247,-659.49579812,27.247
C05375,O=C(O)C1=CC(O)OC(C(=O)O)=C1,70,7,False,OC1OC(=CC(=C1)C(O)=O)C(O)=O,0,OC1OC(=CC(=C1)C(=O)O)C(=O)O,0.0,-713.052024522343,-712.78264014,19.014
C03277,O=C(O)C(=O)Cc1cnc[nH]1,58,6,False,OC(=O)C(=O)Cc1c[nH+]c[nH]1,1,OC(=O)C(=O)Cc1c[nH+]c[nH]1,1.0,-560.954263643235,-560.71955174,18.657
C06814,O=C[C@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O,84,5,False,O[C@H](COP(O)(O)=O)[C@H](O)[C@@H](O)C=O,0,O=C[C@@H]([C@H]([C@@H](COP(=O)(O)O)O)O)O,0.0,-1128.597958934212,-1128.3528371,32.18
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@H](O)[C@H]1O,0,OCC1(O)OC[C@@H]([C@H]1O)O,0.0,-565.769924599094,-565.59343483,21.748
C00503,OC[C@H](O)[C@H](O)CO,50,4,False,OC[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H](CO)O)O,0.0,-453.762960650876,-453.63748362,14.98
C01020,O=C(O)c1ccc(O)nc1,52,6,False,OC(=O)c1ccc([O-])[nH+]c1,0,Oc1ccc(cn1)C(=O)O,0.0,-505.809731976267,-505.61759636,15.543
C02502,Oc1ccccn1,36,5,False,[O-]c1cccc[nH+]1,0,Oc1ccccn1,0.0,-319.424770729701,-319.30814786,11.823
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,0.0,-839.956236110938,-839.6729784,79.259
C07327,O=Cc1cccnc1,40,6,False,O=Cc1ccc[nH+]c1,1,O=Cc1cccnc1,0.0,-357.526897629004,-357.38084098,12.158
C10974,CNCCCC=O,42,5,False,C[NH2+]CCCC=O,1,C[NH2+]CCCC=O,1.0,-323.414353232837,-323.30292803,13.482
