KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00962,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,72,6,False,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@H]1O)O)O,0.0,-685.730100239987,-685.79242054,551.336
C00230,O=C(O)c1ccc(O)c(O)c1,58,7,False,OC(=O)c1ccc(O)c(O)c1,0,OC(=O)c1ccc(c(c1)O)O,0.0,-570.042645592111,-570.05955883,448.676
C05825,CC(=O)CCC(N)C(=O)O,58,6,False,CC(=O)CCC([NH3+])C(O)=O,1,CC(=O)CCC(C(=O)O)[NH3+],1.0,-515.0529102877299,-515.07657772,409.788
C01035,N=C(N)NCCCC(=O)O,58,5,False,NC(=[NH2+])NCCCC(O)=O,1,N[C+](=N)NCCCC(=O)O,1.0,-511.244454150177,-511.26995659,397.62
C02779,O=C1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,70,6,False,OC[C@H]1O[C@@H](O)C(=O)[C@@H](O)[C@@H]1O,0,OC[C@H]1O[C@@H](O)C(=O)[C@H]([C@@H]1O)O,0.0,-684.5242589674859,-684.57865695,615.648
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-760.807644194227,-760.86546457,362.174
C00606,N[C@@H](CS(=O)O)C(=O)O,54,3,False,[NH3+][C@@H](CS(O)=O)C(O)=O,1,OS(=O)C[C@@H](C(=O)O)[NH3+],1.0,-871.330329353809,-871.35132758,407.98800000000006
C11036,Brc1ccccc1,36,6,False,Brc1ccccc1,0,Brc1ccccc1,0.0,-2804.1439753918294,-2804.14982017,323.14
C05572,NC(=O)C(=O)CCC(=O)O,56,5,False,NC(=O)C(=O)CCC(O)=O,0,OC(=O)CCC(=O)C(=O)N,0.0,-549.244563720987,-549.26594915,320.628
C06763,OC[C@H]1NC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,False,OC[C@H]1[NH2+]C(O)[C@H](O)[C@@H](O)[C@@H]1O,1,OC[C@H]1[NH2+]C(O)[C@@H]([C@H]([C@@H]1O)O)O,1.0,-666.356017969018,-666.41671502,630.992
C05375,O=C(O)C1=CC(O)OC(C(=O)O)=C1,70,7,False,OC1OC(=CC(=C1)C(O)=O)C(O)=O,0,OC1OC(=CC(=C1)C(=O)O)C(=O)O,0.0,-720.151089217481,-720.18224669,555.064
C03277,O=C(O)C(=O)Cc1cnc[nH]1,58,6,False,OC(=O)C(=O)Cc1c[nH+]c[nH]1,1,OC(=O)C(=O)Cc1c[nH+]c[nH]1,1.0,-566.656792211616,-566.6758414,266.628
C06814,O=C[C@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O,84,5,False,O[C@H](COP(O)(O)=O)[C@H](O)[C@@H](O)C=O,0,O=C[C@@H]([C@H]([C@@H](COP(=O)(O)O)O)O)O,0.0,-1138.27358109465,-1138.33018709,368.104
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@H](O)[C@H]1O,0,OCC1(O)OC[C@@H]([C@H]1O)O,0.0,-571.433184506063,-571.48322609,203.618
C00503,OC[C@H](O)[C@H](O)CO,50,4,False,OC[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H](CO)O)O,0.0,-458.340990315581,-458.38371891,180.692
C01020,O=C(O)c1ccc(O)nc1,52,6,False,OC(=O)c1ccc([O-])[nH+]c1,0,Oc1ccc(cn1)C(=O)O,0.0,-510.981855485893,-510.99789677,223.8
C02502,Oc1ccccn1,36,5,False,[O-]c1cccc[nH+]1,0,Oc1ccccn1,0.0,-322.804672890389,-322.81469123,162.86
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,0.0,-849.0043967787151,-849.04586666,1244.0510000000004
C07327,O=Cc1cccnc1,40,6,False,O=Cc1ccc[nH+]c1,1,O=Cc1cccnc1,0.0,-361.261231908548,-361.27208211,176.76
C10974,CNCCCC=O,42,5,False,C[NH2+]CCCC=O,1,C[NH2+]CCCC=O,1.0,-326.866833184127,-326.88894443,175.59599999999998
C00793,N[C@H](CS)C(=O)O,42,3,False,[NH3+][C@H](CS)C(O)=O,1,OC(=O)[C@H]([NH3+])CS,1.0,-721.2410114271181,-721.25714683,175.62400000000005
C05827,Cn1cnc(CC=O)c1,48,6,False,Cn1c[nH+]c(CC=O)c1,1,Cn1cc(nc1)CC=O,0.0,-417.71654113653,-417.73500732,226.5
C05161,CC(N)CCC(N)C(=O)O,60,6,False,CC([NH3+])CCC([NH3+])C(O)=O,2,CC([NH3+])CCC([NH3+])C(=O)O,2.0,-496.88602107973395,-496.9118632,313.22
C01720,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,72,6,False,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,0,O[C@@H]([C@H]([C@@H](C(=O)O)O)O)[C@@H](O)C,0.0,-685.748255785761,-685.79524989,603.0840000000002
C03824,N/C(=C/C=C\C=O)C(=O)O,54,6,False,[NH3+]\\C(=C\\C=C/C=O)C([O-])=O,0,O=C/C=C\C=C(/C(=O)O)\N,0.0,-512.11310022565,-512.13020631,331.168
C03981,O=C(O)/C=C(\O)C(=O)O,50,4,False,OC(=O)\\C=C(/O)C(O)=O,0,OC(=O)/C=C(/C(=O)O)\O,0.0,-529.824549400119,-529.84329958,294.184
C04442,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O,94,6,False,O[C@H](COP(O)(O)=O)[C@@H](O)CC(=O)C(O)=O,0,O[C@H]([C@@H](COP(=O)(O)O)O)CC(=O)C(=O)O,0.0,-1251.37918882488,-1251.4336864,856.352
C03064,O=C(O)[C@H](O)C(=O)CO,52,4,True,OCC(=O)[C@@H](O)C(O)=O,0,OCC(=O)[C@H](C(=O)O)O,0.0,-531.015002800127,-531.04321509,146.079
C02810,O=P(O)(O)OCC(O)C(O)C(O)C(O)CO,98,6,False,OCC(O)C(O)C(O)C(O)COP(O)(O)=O,0,OCC(C(C(C(COP(=O)(O)O)O)O)O)O,0.0,-1253.772580662532,-1253.84554556,899.18
C02652,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1,66,7,True,O[C@@H]1C=C(CC(=O)[C@@H]1O)C(O)=O,0,O=C1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-646.2927836560599,-646.32458053,280.869
C03500,CCOC(=O)CC(C)=O,52,6,False,CCOC(=O)CC(C)=O,0,CCOC(=O)CC(=O)C,0.0,-459.3558733920031,-459.38094107,316.908
C00719,C[N+](C)(C)CC(=O)[O-],48,5,False,C[N+](C)(C)CC(O)=O,1,[O-]C(=O)C[N+](C)(C)C,0.0,-401.900562224956,-401.94844255,348.592
C00156,O=C(O)c1ccc(O)cc1,52,7,False,OC(=O)c1ccc(O)cc1,0,Oc1ccc(cc1)C(=O)O,0.0,-494.981400751127,-494.99614083,356.156
C06730,Cc1ccc(O)c(O)c1,48,7,False,Cc1ccc(O)c(O)c1,0,Cc1ccc(c(c1)O)O,0.0,-421.093040571522,-421.10480648,297.16
C02669,O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,70,6,False,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1OC(=O)[C@@H]([C@H]([C@H]1O)O)O,0.0,-684.5380811182521,-684.58903882,588.888
C01825,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,72,6,False,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,0,OC[C@@H]1OC(O)[C@H]([C@@H]([C@@H]1O)O)O,0.0,-685.731982799795,-685.79473623,550.136
C02486,CC(C)[C@H](N)CC(=O)O,54,6,False,CC(C)[C@H]([NH3+])CC(O)=O,1,[NH3+][C@@H](C(C)C)CC(=O)O,1.0,-441.1984214764869,-441.21944005,411.772
C03030,O=C(O)c1c[nH]c(=O)[nH]c1=O,58,5,False,OC(=O)C1=CNC(=O)NC1=O,0,OC(=O)c1c[nH]c(=O)[nH]c1=O,0.0,-602.1192106575689,-602.14030533,429.076
C02045,O=C(CO)[C@@H](O)CO,48,4,False,OC[C@H](O)C(=O)CO,0,OCC(=O)[C@H](CO)O,0.0,-457.13214664765604,-457.16465418,262.10400000000004
C14270,Oc1cccc(Cl)c1,42,6,False,Oc1cccc(Cl)c1,0,Oc1cccc(c1)Cl,0.0,-765.903106056558,-765.91046611,242.548
C14279,O=Cc1ccco1,36,5,False,O=Cc1ccco1,0,O=Cc1ccco1,0.0,-342.608232450445,-342.62030122,182.1
