KEGG,energy_Ha,energy_solv_Ha
C00257,-109.065396662217,-109.065396662217
C00312,-81.8231000200996,-81.8231000200996
C00951,-114.924423096329,-114.924423096329
C03064,-75.3188260419232,-75.3188260419232
C02652,-89.8589707338987,-89.8589707338987
C00233,-64.6310014751685,-64.6310014751685
C00164,-53.6321431377056,-53.6321431377056
C01089,-54.6314443118543,-54.6314443118543
C00133,-45.9352687540905,-45.9352687540905
C01438,-6.50678028196963,-6.50678028196963
C01570,-62.4685871844466,-62.4685871844466
C00031,-98.1973482731109,-98.1973482731109
C00966,-75.4835699471658,-75.4835699471658
C00207,-27.3966092521736,-27.3966092521736
C00794,-99.1946782136017,-99.1946782136017
C00835,-112.910052716234,-112.910052716234
C00109,-53.6089135234722,-53.6089135234722
C00424,-38.2329400360328,-38.2329400360328
C01013,-49.1141428451207,-49.1141428451207
C00014,-8.70184156830392,-8.70184156830392
C00022,-48.1050670861785,-48.1050670861785
C15673,-108.044748174132,-108.044748174132
C00067,-16.3407530830361,-16.3407530830361
C06473,-108.041852695014,-108.041852695014
C00084,-21.869818375389,-21.869818375389
C01188,-54.6284591643892,-54.6284591643892
C06019,-137.823552877591,-137.823552877591
C00854,-43.9236523682229,-43.9236523682229
C02666,-82.629294161915,-82.629294161915
C00085,-137.823875169149,-137.823875169149
C03232,-98.5873894122208,-98.5873894122208
C00222,-48.1055889265577,-48.1055889265577
C02782,-98.2175280610715,-98.2175280610715
C00197,-99.6007185377469,-99.6007185377469
C01179,-88.0182067256565,-88.0182067256565
C00493,-90.8564182722215,-90.8564182722215
C15025,-78.8107609962898,-78.8107609962898
C01904,-82.8213387713354,-82.8213387713354
C03044,-44.7530805341903,-44.7530805341903
C01845,-28.3921737552125,-28.3921737552125
C00132,-17.3566642159597,-17.3566642159597
C05984,-54.6185151652191,-54.6185151652191
C00093,-89.7296403132647,-89.7296403132647
C08492,-43.899759796212,-43.899759796212
C16310,-42.8933707802364,-42.8933707802364
C00944,-101.733164858465,-101.733164858465
C03459,-85.1731403279692,-85.1731403279692
C00033,-32.7519590271867,-32.7519590271867
C00118,-88.7213021132247,-88.7213021132247
C00181,-81.8254681464403,-81.8254681464403
C00322,-85.3718406071842,-85.3718406071842
C02780,-107.041051046028,-107.041051046028
C00590,-83.636661444855,-83.636661444855
C00263,-62.3100829466679,-62.3100829466679
C01096,-138.813227566715,-138.813227566715
C01100,-104.264363377695,-104.264363377695
C03196,-80.8660381497172,-80.8660381497172
C00989,-54.6297788325594,-54.6297788325594
C00282,-1.03070714514086,-1.03070714514086
C03926,-97.2069797567776,-97.2069797567776
C00036,-74.334491396848,-74.334491396848
C01620,-76.3358455344128,-76.3358455344128
C00756,-55.9419497735676,-55.9419497735676
C01697,-99.1926717005943,-99.1926717005943
C00314,-80.9965695382098,-80.9965695382098
C00082,-85.8650220272756,-85.8650220272756
C01087,-80.8710772168157,-80.8710772168157
C00042,-64.5038686640189,-64.5038686640189
C00064,-74.1817369580648,-74.1817369580648
C00041,-45.9443851585183,-45.9443851585183
C00026,-79.8458108088682,-79.8458108088682
C00535,-121.428072703516,-121.428072703516
C00414,-42.9327572340984,-42.9327572340984
C00468,-113.927104548128,-113.927104548128
C00258,-59.9651564532838,-59.9651564532838
C00232,-53.626425678114,-53.626425678114
C00209,-53.4463668602207,-53.4463668602207
C00940,-76.3466715173225,-76.3466715173225
C00392,-99.1971260859722,-99.1971260859722
C00160,-43.6000499617329,-43.6000499617329
C00256,-49.1196861129237,-49.1196861129237
C00552,-86.1948144896443,-86.1948144896443
C19838,-83.0213296867559,-83.0213296867559
C00049,-72.1818252314073,-72.1818252314073
C02953,-114.24140827355,-114.24140827355
C00217,-77.6857936764516,-77.6857936764516
C00250,-79.9886127961372,-79.9886127961372
C00556,-46.4161527484001,-46.4161527484001
C02043,-94.53094517528,-94.53094517528
C00318,-78.8122798457879,-78.8122798457879
C00810,-43.7612369000526,-43.7612369000526
C00644,-138.832192789568,-138.832192789568
C00186,-49.1152405473832,-49.1152405473832
C00469,-22.8743629428693,-22.8743629428693
C02636,-77.8090553139711,-77.8090553139711
C00956,-83.2006318360993,-83.2006318360993
C01507,-99.1832929060039,-99.1832929060039
C00577,-49.082814415199,-49.082814415199
C03351,-57.2801594470196,-57.2801594470196
C04462,-150.861822215993,-150.861822215993
C00058,-27.2332118421067,-27.2332118421067
C01146,-58.9534983194509,-58.9534983194509
C00116,-50.0928489639647,-50.0928489639647
C00092,-137.824252952184,-137.824252952184
C05665,-35.0710801463247,-35.0710801463247
C00247,-98.1955137469326,-98.1955137469326
C00280,-120.430654197158,-120.430654197158
C00334,-51.4637736192756,-51.4637736192756
C00309,-81.8314068369532,-81.8314068369532
C00795,-98.198517269059,-98.198517269059
C00001,-11.8701421442699,-11.8701421442699
C03943,-64.6414434276582,-64.6414434276582
C00168,-58.9461451475157,-58.9461451475157
C00379,-82.8242890069442,-82.8242890069442
C00345,-148.702059021395,-148.702059021395
C00522,-76.4960457534239,-76.4960457534239
C01545,-54.9328707071864,-54.9328707071864
C00065,-56.7936579512755,-56.7936579512755
C00497,-75.3523653110853,-75.3523653110853
C00095,-98.1886607332764,-98.1886607332764
C00986,-32.906747173476,-32.906747173476
C03341,-66.8163249260318,-66.8163249260318
C00331,-93.531020732622,-93.531020732622
C00296,-102.732653454159,-102.732653454159
C01186,-70.1667882186032,-70.1667882186032
C00166,-77.1546391814407,-77.1546391814407
C00184,-49.0890199057931,-49.0890199057931
C00025,-77.6916184440648,-77.6916184440648
C01267,-106.423863447144,-106.423863447144
C00273,-97.1759387065577,-97.1759387065577
C03167,-61.4939800850321,-61.4939800850321
C00111,-88.7255337977084,-88.7255337977084
C00117,-121.469859623123,-121.469859623123
C00441,-61.2972220075102,-61.2972220075102
C00474,-82.8281517282301,-82.8281517282301
C00349,-53.6137728863838,-53.6137728863838
C00673,-110.620223012073,-110.620223012073
C00246,-43.7718001253065,-43.7718001253065
C06142,-33.8934580297428,-33.8934580297428
C00204,-97.1990988645716,-97.1990988645716
C00261,-45.4110047570447,-45.4110047570447
C04421,-148.698977590705,-148.698977590705
C00037,-40.4340223313623,-40.4340223313623
C00149,-75.3566899713549,-75.3566899713549
C01412,-32.8914631302562,-32.8914631302562
C00048,-42.5719604708324,-42.5719604708324
C00099,-45.9548113087993,-45.9548113087993
C00534,-77.8313470854948,-77.8313470854948
C00583,-39.2413315225903,-39.2413315225903
C03557,-59.3378598507714,-59.3378598507714
C01005,-96.4214343242778,-96.4214343242778
C01127,-90.7094672864444,-90.7094672864444
C00123,-62.4743325735232,-62.4743325735232
C00079,-74.9906770092558,-74.9906770092558
C03656,-72.3396481367471,-72.3396481367471
C03067,-56.2733073895807,-56.2733073895807
