KEGG_ID,category,Emp_GCM_pH7_I0,Emp_GCM_pH7_I25,Emp_exp_pH7_I0,Emp_exp_pH7_I25
C00309 = C00474,2,-234.299344954,-242.697283004,-224.268389071,-232.666327121
C00312 = C00379,2,-234.299344954,-242.697283004,-223.977949836,-232.375887886
C00026 = C03196,2,-219.042836265,-227.441313132,-157.949130961,-166.347607828
C00026 = C01087,2,-219.042836265,-227.441313132,-180.528308327,-188.926785194
C02780 = C15673,2,-219.053526473,-227.450436062,-166.669938884,-175.066848473
C06473 = C00257,2,-219.049536666,-227.443235319,-231.424660785,-239.818359438
C00966 = C00522,2,-219.042446524,-227.438848796,-224.435219725,-232.831621997
C06019 = C00644,2,-218.910907241,-227.427122438,-194.596109367,-203.112324564
C00031 = C00794,2,-256.219283189,-264.611735205,-262.581684687,-270.974136703
C16310 = C08492,2,-206.214203702,-214.606092601,-190.646741702,-199.038630601
C00085 = C00644,2,-251.357213629,-260.861457242,-266.762205726,-276.266449339
C00273 = C00095,2,-185.253407005,-193.711461633,-219.659882945,-228.117937573
C00795 = C01697,2,-262.723114087,-271.12104231,-266.227559481,-274.625487704
C00085 = C01096,2,-251.357213629,-260.861457242,-243.753370305,-253.257613918
C00414 = C00854,2,-293.250247911,-301.64213681,-281.683414345,-290.075303244
C03926 = C02782,2,-219.047757172,-227.445461731,-177.299243032,-185.696947591
C00095 = C00794,2,-252.929224562,-261.327294042,-263.069454627,-271.467524107
C00092 = C01096,2,-254.648191951,-264.116372602,-256.871298028,-266.339478679
C00247 = C01507,2,-262.723114087,-271.12104231,-259.619285263,-268.017213486
C00095 = C00392,2,-252.929224562,-261.327294042,-271.973100188,-280.371169668
C02636 = C00318,2,-219.042719506,-227.434612652,-201.309741707,-209.701634853
C02652 = C00493,2,-293.24483782,-301.639539473,-273.285754708,-281.680456361
C03067 = C03351,2,-206.307367885,-214.78392485,-277.53313259,-286.009689555
C00261 = C00556,2,-206.214203702,-214.606092601,-218.026754263,-226.418643162
C00944 = C00296,2,-293.249150836,-301.64170511,-239.77682108,-248.169375354
C02636 = C15025,2,-219.042719506,-227.434612652,-188.054861248,-196.446754394
C00084 = C00469,2,-206.214203702,-214.606092601,-213.696683157,-222.088572056
C00048 = C00160,2,-206.210376912,-214.604101844,-94.9418440225,-103.335568954
C00577 = C00116,2,-206.214219109,-214.60612222,-120.932795677,-129.324698788
C00184 = C00116,2,-219.051871119,-227.443760944,-198.661667515,-207.05355734
C00207 = C01845,2,-219.051870116,-227.443759015,-287.265039947,-295.656928846
C00168 = C00258,2,-219.048966406,-227.442235596,-160.91740477,-169.31067396
C00222 = C01013,2,-206.201256872,-214.59935458,-202.488337464,-210.886435172
C01412 = C06142,2,-206.214203702,-214.606092601,-200.375337966,-208.767226865
C01146 = C00258,2,-206.212258157,-214.605154774,-153.628779973,-162.02167659
C00022 = C00186,2,-219.045228686,-227.440303783,-183.603621783,-191.99869688
C00022 = C00256,2,-219.045228686,-227.440303783,-199.506311585,-207.901386682
C00164 = C01089,2,-219.032347527,-227.433595175,-266.293095874,-274.694343522
C03064 = C01620,2,-219.051117634,-227.446085899,-230.562555097,-238.957523362
C00036 = C00149,2,-218.88468218,-227.398297786,-168.692032576,-177.205648182
C00109 = C05984,2,-219.041317505,-227.438268389,-227.010648926,-235.40759981
C00810 = C03044,2,-219.051872562,-227.443763718,-244.291616275,-252.683507431
C00441 = C00263,2,-206.259330371,-214.692251916,-207.158527206,-215.591448751
C00232 = C00989,2,-206.196197815,-214.596717297,-325.04458902,-333.445108502
C03459 = C00552,2,-218.974339294,-227.42288275,-117.816304734,-126.26484819
C00349 = C01188,2,-206.196396061,-214.596822303,-215.348856154,-223.749282396
C00036 = C00497,2,-218.88468218,-227.398297786,-120.753283964,-129.26689957
C00309 = C01904,2,-234.299344954,-242.697283004,-230.428035039,-238.825973089
C00181 = C00379,2,-237.589542239,-245.981990605,-240.834696165,-249.227144531
C00331 = C02043,2,-219.038126131,-227.436606931,-398.700992088,-407.099472888
C00468 = C00951,2,-293.250247911,-301.64213681,-300.368024996,-308.759913895
C02666 = C00590,2,-206.239482247,-214.654598677,-271.02220163,-279.43731806
C00835 = C02953,2,-222.875286194,-231.270795345,-256.761165268,-265.156674419
