KEGG,canon_smiles,smiles,n_electrons,n_carbons,organic,easy,exp_rxn_data,dlpno_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,josh
C04611,O=C(Cc1c[nH]c2ccccc12)O[C@H]1[C@@H](O)[C@H](O)[C@@H](O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,O=C(Cc1c[nH]c2ccccc12)O[C@H]1[C@@H](O)[C@H](O)[C@@H](O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,182,21,True,False,False,False,O[C@H]1CO[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](OC(=O)Cc3c[nH]c4ccccc34)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0,O=C(Cc1c[nH]c2c1cccc2)O[C@@H]1[C@H](O)[C@@H](O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O)O,0,False
C03466,C=C(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C=C(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,304,26,True,False,False,False,CC(=C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)[nH+]cnc12,1,CC(=C)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O,0,False
C04541,COC(=O)[C@@H](N)CCCN(c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,COC(=O)[C@@H](N)CCCN(c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,148,18,True,False,False,False,COC(=O)[C@@H]([NH3+])CCCN(c1ccc(cc1)[N+]([O-])=O)c1ccc(cc1)[N+]([O-])=O,1,COC(=O)[C@H](CCCN(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-])[NH3+],1,False
C00962,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,72,6,True,True,False,True,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@H]1O)O)O,0,False
C10811,CC1=C2C(=O)[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,CC1=C2C(=O)[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,170,27,True,False,False,False,C[C@@H]1[C@@H]2[NH2+]C[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3C(=O)C2=C1C,1,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C(=O)C2=C(C)[C@]4(CC[C@@H]32)O[C@H]2[C@H]([C@H]4C)[NH2+]C[C@H](C2)C)C1)C,1,False
C17431,CC(C)CC(=O)O[C@@H]1OC=C(CO[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2C[C@H](O)[C@@H](CO)[C@@H]12,CC(C)CC(=O)O[C@@H]1OC=C(CO[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2C[C@H](O)[C@@H](CO)[C@@H]12,248,27,True,False,False,False,CC(C)CC(=O)O[C@@H]1OC=C(CO[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2C[C@H](O)[C@@H](CO)[C@@H]12,0,OC[C@@H]1[C@@H](O)C[C@H]2[C@@H]1[C@@H](OC=C2CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)OC(=O)CC(C)C,0,False
C01262,Cn1cncc1C[C@H](NC(=O)CCN)C(=O)O,Cn1cncc1C[C@H](NC(=O)CCN)C(=O)O,94,10,True,True,False,False,Cn1c[nH+]cc1C[C@H](NC(=O)CC[NH3+])C(O)=O,2,[NH3+]CCC(=O)N[C@H](C(=O)O)Cc1c[nH+]cn1C,2,False
C00883,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)O[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)O[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,200,18,True,False,False,False,OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H]([C@H]([C@@H]2O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@@H]2O)O)O)O)O)[C@@H]([C@H]([C@H]1O)O)O,0,False
C02843,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,294,24,True,False,False,False,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)[nH+]cnc12,1,CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O,0,False
C15495,CCCCCCCCCCc1c(C)c(O)c(OC)c(OC)c1O,CCCCCCCCCCc1c(C)c(O)c(OC)c(OC)c1O,132,19,True,False,False,False,CCCCCCCCCCc1c(C)c(O)c(OC)c(OC)c1O,0,CCCCCCCCCCc1c(C)c(O)c(c(c1O)OC)OC,0,False
