rxn,category
CC=O>>CCO,2
CC=O>>CCN,3
O=CCO>>OCCO,2
O=CCO>>NCCO,3
CCC=O>>CCCO,2
NCC=O>>NCCO,2
CCC=O>>CCCN,3
NCC=O>>NCCN,3
C=CC=O>>C=CCN,3
O=CC=O>>O=CCO,2
CCCC=O>>CCCCN,3
O=CC=O>>NCC=O,3
C=CC=O>>C=CCO,2
NCCC=O>>NCCCN,3
CCCC=O>>CCCCO,2
NCCC=O>>NCCCO,2
O=CCCO>>NCCCO,3
O=CCCO>>OCCCO,2
CC(C)=O>>CC(C)N,3
CC(C)=O>>CC(C)O,2
O=CCC=O>>NCCC=O,3
O=CCC=O>>O=CCCO,2
O=CCCCO>>NCCCCO,3
NCCCC=O>>NCCCCO,2
NCCCC=O>>NCCCCN,3
O=CCCCO>>OCCCCO,2
CC(=O)CO>>CC(N)CO,3
CC(O)C=O>>CC(O)CO,2
C/C=C/C=O>>CC=CCO,2
O=CCCCCO>>OCCCCCO,2
CCC(C)=O>>CCC(C)N,3
O=CCCC=O>>O=CCCCO,2
NCCCCC=O>>NCCCCCO,2
CC(=O)CO>>CC(O)CO,2
CC(=O)CN>>CC(N)CN,3
O=CC1CO1>>OCC1CO1,2
CC(O)C=O>>CC(O)CN,3
O=CCCC=O>>NCCCC=O,3
CCC(C)=O>>CCC(C)O,2
CNCCCC=O>>CNCCCCN,3
CC(N)C=O>>CC(N)CN,3
C/C=C/C=O>>CC=CCN,3
CNCCCC=O>>CNCCCCO,2
NCCCCC=O>>NCCCCCN,3
O=CCCCCO>>NCCCCCO,3
CC(N)C=O>>CC(N)CO,2
O=CC1CO1>>NCC1CO1,3
CC(=O)CN>>CC(O)CN,2
O=CCCCC=O>>NCCCCC=O,3
CC(=O)C=O>>CC(=O)CN,3
CCCC(C)=O>>CCCC(C)N,3
O=C1CCCC1>>OC1CCCC1,2
O=C(CO)CO>>OCC(O)CO,2
CCC(C)C=O>>CCC(C)CN,3
CC(C)CC=O>>CC(C)CCO,2
O=CC(O)CO>>NCC(O)CO,3
CCC(C)C=O>>CCC(C)CO,2
CC(C)CC=O>>CC(C)CCN,3
O=CC(=O)O>>NCC(=O)O,3
CC(=O)C=O>>CC(O)C=O,2
CCCC(C)=O>>CCCC(C)O,2
CCCCCCC=O>>CCCCCCCN,3
O=CCCCC=O>>O=CCCCCO,2
O=CC(O)CO>>OCC(O)CO,2
CC(=O)C=O>>CC(N)C=O,3
CC(=O)C=O>>CC(=O)CO,2
CCCCCCC=O>>CCCCCCCO,2
O=C(CO)CO>>NC(CO)CO,3
O=C1CCCC1>>NC1CCCC1,3
O=CC(=O)O>>O=C(O)CO,2
CCC/C=C/C=O>>CCCC=CCO,2
O=CCC(=O)O>>O=C(O)CCO,2
O=C1CCCCC1>>OC1CCCCC1,2
CC(C)CCC=O>>CC(C)CCCO,2
CC(C)CCC=O>>CC(C)CCCN,3
O=Cc1ccco1>>NCc1ccco1,3
CC(C)=CC=O>>CC(C)=CCN,3
O=C1CCCCC1>>NC1CCCCC1,3
CCCCCCCC=O>>CCCCCCCCO,2
O=CCC(=O)O>>NCCC(=O)O,3
CCCCCCCC=O>>CCCCCCCCN,3
CCC/C=C/C=O>>CCCC=CCN,3
O=Cc1ccco1>>OCc1ccco1,2
CC(C)=CC=O>>CC(C)=CCO,2
CC/C=C\CC=O>>CC/C=C\CCO,2
O=C1C=CCCC1>>NC1C=CCCC1,3
NC1CCCCC1=O>>NC1CCCCC1N,3
O=CCCC(=O)O>>NCCCC(=O)O,3
CC(=O)C(C)O>>CC(N)C(C)O,3
CCCCCC(C)=O>>CCCCCC(C)N,3
CC(=O)C(C)O>>CC(O)C(C)O,2
O=Cc1ccccc1>>NCc1ccccc1,3
NC1CCCCC1=O>>NC1CCCCC1O,2
O=C1CCCCC1O>>NC1CCCCC1O,3
CCCCCC(C)=O>>CCCCCC(C)O,2
CC(=O)C(C)N>>CC(N)C(C)N,3
O=C[C@H](O)CO>>OCC(O)CO,2
O=C1C=CCCC1>>OC1C=CCCC1,2
O=CCCC(=O)O>>O=C(O)CCCO,2
CC/C=C\CC=O>>CC/C=C\CCN,3
CC(=O)C(C)N>>CC(N)C(C)O,2
O=Cc1cccnc1>>NCc1cccnc1,3
O=Cc1ccccc1>>OCc1ccccc1,2
O=Cc1cccnc1>>OCc1cccnc1,2
O=C1CCCCC1O>>OC1CCCCC1O,2
O=C[C@@H](O)CO>>OCC(O)CO,2
CC(=O)CC(C)O>>CC(O)CC(C)O,2
